"xlsx_row","company","email","why","kept_xlsx_row","kept_company"
"692","Laser Therapy Barcelona","","duplicate_company_name","139","Laser Therapy Barcelona"
"954","Clínica Depilación Tulaser El Corte Inglés Plaza Cataluña","","duplicate_company_name","68","Clínica Depilación Tulaser El Corte Inglés Plaza Cataluña"
"1019","Derma centro de terapias","contacto@esteticaderma.com","duplicate_company_name","571","Derma centro de terapias"
"1305","TOTAL LASER","","duplicate_company_name","827","TOTAL LASER"
"1543","Dr Alvaro Chaux","","duplicate_company_name","579","Dr Alvaro Chaux"
"1957","Salon De Belleza","","duplicate_company_name","794","Salón de belleza"
"2083","0 calvicie Diagonal","","duplicate_company_name","1329","0 calvicie Diagonal"
"2084","Belleza capilar Daniel Bonachera","","duplicate_company_name","1431","Belleza capilar Daniel Bonachera"
"2085","Biotricologia® Cosmética Capilar Natural Avanzada","","duplicate_company_name","1434","Biotricologia® Cosmética Capilar Natural Avanzada"
"2086","Bliss Capilar Center","","duplicate_company_name","1435","Bliss Capilar Center"
"2087","CCCI Centro de Cirugia Capilar Internacional","","duplicate_company_name","1450","CCCI Centro de Cirugia Capilar Internacional"
"2088","CHARA CAPILAR","","duplicate_company_name","1452","CHARA CAPILAR"
"2089","CLINICANA","","duplicate_company_name","1454","CLINICANA"
"2090","CapilClinic Barcelona","","duplicate_company_name","1462","CapilClinic Barcelona"
"2091","Capilar Professionals","roberto@capilarprofessionals.com","duplicate_company_name","1463","Capilar Professionals"
"2092","Carreras Centre Capilar Oncològic","","duplicate_company_name","1470","Carreras Centre Capilar Oncològic"
"2093","Centre de Tecnologia Capilar","","duplicate_company_name","1476","Centre de Tecnologia Capilar"
"2094","Centros Beltrán Barcelona – Pelucas naturales y prótesis capilares","","duplicate_company_name","1479","Centros Beltrán Barcelona – Pelucas naturales y prótesis capilares"
"2095","Clínica Capil·lar a Barcelona | Trasplantament o Ingert | Instituto del Pelo | Institut Català de Tricologia","","duplicate_company_name","1488","Clínica Capil·lar a Barcelona | Trasplantament o Ingert | Instituto del Pelo | Institut Català de Tricologia"
"2096","Clínica Novum - Medicina Estética, Medicina Capilar y Estética Avanzada","","duplicate_company_name","1507","Clínica Novum - Medicina Estética, Medicina Capilar y Estética Avanzada"
"2097","Clínica Renace | Micropigmentación Capilar","","duplicate_company_name","1509","Clínica Renace | Micropigmentación Capilar"
