xlsx_row,company,website,email,domain,address,categoria,stage,why,kept_xlsx_row,kept_company
93,Manikurame Centro de estética Gran Vía,https://www.manikurame.com/,,manikurame.com,"Gran Via de les Corts Catalanes, 210, Sants-Montjuïc, 08004 Barcelona, Spain",CLINICA ESTETICA,Email Sent,duplicate_website_domain:manikurame.com,92,ManikuraMe
99,Norma Vargass Estetica Avanzada ///PESTAÑAS /CEJAS /LIFTING /LAMINADO,https://www.instagram.com/invites/contact/?i=1welfmwctq5yl&utm_content=9q23ye,,instagram.com,"Carrer del Rosselló, 208, Eixample, 08008 Barcelona, Spain",CLINICA ESTETICA,Email Sent,duplicate_website_domain:instagram.com,50,"Centro De Belleza y Estética ""A Todo Estilo"""
121,Clínica Dermatològica De Felip,http://www.defelipe.com/,,defelipe.com,"C/ de Muntaner, 95-97, Local, Eixample, 08036 Barcelona, Spain",CLINICA DERMATOLOGIA,Email Sent,present_in_sim_but_unmatched_on_platform,,
130,Dra. Michele Verastegui,https://www.doctoralia.es/michele-verastegui/medico-estetico/barcelona,,doctoralia.es,"Av. Diagonal, 600, entresuelo 1, Sarrià-Sant Gervasi, 08021 Barcelona, Spain",CLINICA DERMATOLOGIA,Email Sent,present_in_sim_but_unmatched_on_platform,,
217,Farmacia Dr. Jordi Casas,https://www.canalfarmaciaonline.com/farmacia-casas-sanchez-jordi,,canalfarmaciaonline.com,"Av. Onze de Setembre, 185, 08820 El Prat de Llobregat, Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:canalfarmaciaonline.com,216,Farmacia Dr. Jaume Casas
249,Farmacia M. A. García-Navarro,http://www.facebook.com/farmaciaGarciaNavarro,,facebook.com,"Rambla de la Marina, 204, 08907 L'Hospitalet de Llobregat, Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:facebook.com,91,"Les Pintes, peluquería, centro de belleza"
252,Farmacia Messi | Farmacia · Dermofarmacia · Terapias naturales en Barcelona,https://www.facebook.com/farmacia.messi.7,,facebook.com,"Carrer de València, 614 bis, Sant Martí, 08026 Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:facebook.com,91,"Les Pintes, peluquería, centro de belleza"
258,Farmacia Odriozola Barcelona,https://www.facebook.com/farmaciamaquinistabarceloneta/,odriozolafarmacia@gmail.com,facebook.com,"Carrer de la Maquinista, 9, Ciutat Vella, 08003 Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:facebook.com,91,"Les Pintes, peluquería, centro de belleza"
259,Farmacia Ortopedia,https://www.instagram.com/farmacia.centralprat/,,instagram.com,"Av. de la Verge de Montserrat, 135, 08820 El Prat de Llobregat, Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:instagram.com,50,"Centro De Belleza y Estética ""A Todo Estilo"""
282,Farmanova,https://www.facebook.com/farmanovaHospitalet/,parafarmacia.farmanova@gmail.com,facebook.com,"Carrer Hierbabuena, 35, 08906 L'Hospitalet de Llobregat, Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:facebook.com,91,"Les Pintes, peluquería, centro de belleza"
316,Farmàcia CARRÉ,https://www.instagram.com/farmaciacarre/,,instagram.com,"Carrer de Leiva, 3, Sants-Montjuïc, 08014 Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:instagram.com,50,"Centro De Belleza y Estética ""A Todo Estilo"""
320,Farmàcia Carbonell,https://www.canalfarmaciaonline.com/farmacia-carbonell,,canalfarmaciaonline.com,"Carrer del Comte Borrell, 7, Eixample, 08015 Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:canalfarmaciaonline.com,216,Farmacia Dr. Jaume Casas
323,Farmàcia Carmen Barenys,https://www.instagram.com/farmaciacbarenys/,,instagram.com,"Davant del Bauhaus, Pg. de la Zona Franca, 122, 08038 Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:instagram.com,50,"Centro De Belleza y Estética ""A Todo Estilo"""
327,Farmàcia Catedral,https://www.instagram.com/farmacia.catedral/,,instagram.com,"Av. de la Catedral, 1, Ciutat Vella, 08002 Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:instagram.com,50,"Centro De Belleza y Estética ""A Todo Estilo"""
332,Farmàcia Collellmir,https://www.canalfarmaciaonline.com/farmacia-collellmir,mcollellmir001@cofb.net,canalfarmaciaonline.com,"Carrer del Trobador, 7, Horta-Guinardó, 08041 Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:canalfarmaciaonline.com,216,Farmacia Dr. Jaume Casas
338,Farmàcia Dasca 24 Hores,https://www.facebook.com/farmaciadascademoxo/,farmaciamdasca@gmail.com,facebook.com,"Rambla de la Marina, 441, 08901 L'Hospitalet de Llobregat, Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:facebook.com,91,"Les Pintes, peluquería, centro de belleza"
345,Farmàcia Ecoceutics Núria Andrés,https://www.ecoceutics.com/farmacia/farmacia-nuria-andres/,nuriandres@hotmail.com,ecoceutics.com,"Carrer del Doctor Ferran, 40, 08940 Cornellà de Llobregat, Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:ecoceutics.com,221,Farmacia Ecoceutics Can Batlló
346,Farmàcia Ecoceutics Plaza Ibiza,https://www.ecoceutics.com/,info@ecoceutics.com,ecoceutics.com,"Avinguda d'Isabel la Catòlica, 83, 08906 L'Hospitalet de Llobregat, Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:ecoceutics.com,221,Farmacia Ecoceutics Can Batlló
390,Farmàcia LUIS SANCHEZ PEÑA,https://instagram.com/farmaciacanvidalet?igshid=158b52bjkrf8b,,instagram.com,"Carrer Verge de la Mercè, 42, 44, 08950 Esplugues de Llobregat, Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:instagram.com,50,"Centro De Belleza y Estética ""A Todo Estilo"""
396,Farmàcia Lantigua,https://www.facebook.com/FarmaciaLantigua1/,,facebook.com,"Carrer de la Mineria, 70-72, 70-72, Sants-Montjuïc, 08038 Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:facebook.com,91,"Les Pintes, peluquería, centro de belleza"
447,Farmàcia Reverter,https://instagram.com/farmaciareverter?igshid=rnwl8osm6ir1,,instagram.com,"Carrer de Viladomat, 90, Eixample, 08015 Barcelona, Spain",FARMACIA,Pending,duplicate_website_domain:instagram.com,50,"Centro De Belleza y Estética ""A Todo Estilo"""
